"unitid","institution name","year","DRVEF2022.Percent of total enrollment that are American Indian or Alaska Native","DRVEF2022.Percent of total enrollment that are Asian","DRVEF2022.Percent of total enrollment that are Black or African American","DRVEF2022.Percent of total enrollment that are Hispanic/Latino","DRVEF2022.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2022.Percent of total enrollment that are White","DRVEF2022.Percent of total enrollment that are two or more races","DRVEF2022.Percent of total enrollment that are Race/ethnicity unknown","DRVEF2022.Percent of total enrollment that are U.S. Nonresident","DRVEF2022.Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander","DRVEF2022.Percent of total enrollment that are women","DRVEF2022.Percent of undergraduate enrollment that are American Indian or Alaska Native","DRVEF2022.Percent of undergraduate enrollment that are Asian","DRVEF2022.Percent of undergraduate enrollment that are Black or African American","DRVEF2022.Percent of undergraduate enrollment that are Hispanic/Latino","DRVEF2022.Percent of undergraduate enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2022.Percent of undergraduate enrollment that are White","DRVEF2022.Percent of undergraduate enrollment that are two or more races","DRVEF2022.Percent of undergraduate enrollment that are Race/ethnicity unknown","DRVEF2022.Percent of undergraduate enrollment that are U.S. Nonresident","DRVEF2022.Percent of undergraduate enrollment that are Asian/Native Hawaiian/Pacific Islander","DRVEF2022.Percent of undergraduate enrollment that are women","DRVEF2022.Percent of graduate enrollment that are American Indian or Alaska Native","DRVEF2022.Percent of graduate enrollment that are Asian","DRVEF2022.Percent of graduate enrollment that are Black or African American","DRVEF2022.Percent of graduate enrollment that are Hispanic/Latino","DRVEF2022.Percent of graduate enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2022.Percent of graduate enrollment that are White","DRVEF2022.Percent of graduate enrollment that are two or more races","DRVEF2022.Percent of graduate enrollment that are Race/ethnicity unknown","DRVEF2022.Percent of graduate enrollment that are U.S. Nonresident","DRVEF2022.Percent of graduate enrollment that are Asian/Native Hawaiian/Pacific Islander","DRVEF2022.Percent of graduate enrollment that are women"
"198376","Davidson-Davie Community College","2022","0","2","13","12","0","66","3","3","1","2","65","0","2","13","12","0","66","3","3","1","2","65",,,,,,,,,,,
"198385","Davidson College","2022","0","5","6","10","0","62","5","1","10","5","53","0","5","6","10","0","62","5","1","10","5","53",,,,,,,,,,,
"198419","Duke University","2022","0","13","7","8","0","38","5","4","25","14","55","0","21","9","11","0","37","7","5","10","21","53","0","9","7","6","0","38","4","3","33","9","56"
"198455","Durham Technical Community College","2022","0","5","31","20","0","31","4","5","4","5","62","0","5","31","20","0","31","4","5","4","5","62",,,,,,,,,,,
"198464","East Carolina University","2022","1","3","16","8","0","63","3","4","1","3","60","0","3","17","9","0","63","4","4","1","3","58","1","4","15","5","0","65","2","4","2","4","69"
"198491","Edgecombe Community College","2022","0","1","50","8","0","36","1","3","0","1","75","0","1","50","8","0","36","1","3","0","1","75",,,,,,,,,,,
"198507","Elizabeth City State University","2022","1","0","68","4","0","17","6","3","1","0","58","1","0","69","4","0","17","6","2","1","0","57","0","1","57","3","0","14","3","22","1","1","78"
"198516","Elon University","2022","0","2","6","6","0","78","3","2","2","2","60","0","2","6","6","0","79","3","1","2","2","59","1","2","12","7","0","69","1","6","3","2","64"
"198534","Fayetteville Technical Community College","2022","3","2","37","15","1","35","5","2","1","3","62","3","2","37","15","1","35","5","2","1","3","62",,,,,,,,,,,
"198543","Fayetteville State University","2022","1","2","61","9","0","18","6","2","1","2","70","1","1","61","10","0","17","7","2","1","2","70","1","2","57","7","0","23","3","3","2","2","65"
"198552","Forsyth Technical Community College","2022","1","2","24","18","0","44","3","6","1","2","64","1","2","24","18","0","44","3","6","1","2","64",,,,,,,,,,,
"198561","Gardner-Webb University","2022","1","1","25","3","0","52","2","15","0","1","68","1","1","17","4","0","54","2","20","0","1","64","1","1","35","2","0","50","2","8","0","2","72"
"198570","Gaston College","2022","0","1","11","8","0","42","3","34","1","1","65","0","1","11","8","0","42","3","34","1","1","65",,,,,,,,,,,
"198598","Greensboro College","2022","0","1","31","16","0","39","6","7","0","1","47","0","1","34","8","0","43","6","8","0","1","43","0","5","8","76","0","9","1","0","0","5","77"
"198613","Guilford College","2022","0","6","28","15","0","42","5","2","1","6","51","0","7","28","15","0","42","5","2","1","7","50","0","0","32","5","0","55","8","0","0","0","61"
"198622","Guilford Technical Community College","2022","1","5","33","14","0","40","3","3","1","6","58","1","5","33","14","0","40","3","3","1","6","58",,,,,,,,,,,
"198640","Halifax Community College","2022","2","1","46","5","0","37","1","7","0","1","67","2","1","46","5","0","37","1","7","0","1","67",,,,,,,,,,,
"198668","Haywood Community College","2022","2","1","5","7","0","81","1","2","0","1","66","2","1","5","7","0","81","1","2","0","1","66",,,,,,,,,,,
"198677","Heritage Bible College","2022","0","0","50","4","0","46","0","0","0","0","50","0","0","50","4","0","46","0","0","0","0","50",,,,,,,,,,,
"198695","High Point University","2022","1","2","9","7","0","74","3","2","1","2","57","0","2","7","7","0","76","3","3","1","2","56","1","5","18","5","0","66","4","2","1","5","65"
"198710","Isothermal Community College","2022","0","1","9","9","0","74","3","3","0","1","63","0","1","9","9","0","74","3","3","0","1","63",,,,,,,,,,,
"198729","James Sprunt Community College","2022","1","1","23","28","0","43","2","3","1","1","68","1","1","23","28","0","43","2","3","1","1","68",,,,,,,,,,,
"198756","Johnson C Smith University","2022","1","0","77","1","0","1","0","19","1","1","55","1","0","77","1","0","1","0","20","1","1","54","0","0","93","0","0","5","0","2","0","0","83"
"198774","Johnston Community College","2022","1","1","13","19","0","63","2","1","1","1","64","1","1","13","19","0","63","2","1","1","1","64",,,,,,,,,,,
"198808","Lees-McRae College","2022","1","1","7","7","0","74","1","5","4","1","65","1","1","7","7","0","74","1","5","4","1","65",,,,,,,,,,,
"198817","Lenoir Community College","2022","0","2","29","15","0","52","2","0","0","2","64","0","2","29","15","0","52","2","0","0","2","64",,,,,,,,,,,
"198835","Lenoir-Rhyne University","2022","1","2","14","2","0","66","7","3","5","2","63","0","2","14","4","0","63","9","2","6","2","56","1","1","12","0","0","72","5","5","4","1","74"
"198844","Leons Beauty School Inc","2022","0","0","7","12","0","78","1","1","1","0","99","0","0","7","12","0","78","1","1","1","0","99",,,,,,,,,,,
"198862","Livingstone College","2022","0","0","90","0","0","2","4","4","1","0","41","0","0","90","0","0","2","4","4","1","0","41",,,,,,,,,,,
"198871","Louisburg College","2022","0","0","60","8","0","24","4","2","2","0","23","0","0","60","8","0","24","4","2","2","0","23",,,,,,,,,,,
"198899","Mars Hill University","2022","1","1","17","9","0","64","1","1","5","1","49","1","1","17","9","0","64","1","1","5","1","49","0","5","21","5","0","58","0","0","11","5","63"
"198905","Martin Community College","2022","1","1","41","2","0","50","1","4","0","1","67","1","1","41","2","0","50","1","4","0","1","67",,,,,,,,,,,
"198914","Mayland Community College","2022","1","1","1","7","0","88","0","2","0","1","57","1","1","1","7","0","88","0","2","0","1","57",,,,,,,,,,,
"198923","McDowell Technical Community College","2022","0","1","5","10","0","77","2","6","0","1","60","0","1","5","10","0","77","2","6","0","1","60",,,,,,,,,,,
"198950","Meredith College","2022","1","5","10","12","0","64","2","4","2","5","98","1","5","9","13","0","65","2","3","1","5","100","0","3","16","6","0","62","1","9","4","3","90"
"198969","Methodist University","2022","2","1","21","8","0","46","2","16","5","1","50","1","1","23","8","0","48","1","11","6","1","45","3","2","11","7","0","39","2","36","0","2","68"
"198978","Miller-Motte College-Wilmington","2022","2","0","46","8","1","39","4","1","0","1","88","2","0","46","8","1","39","4","1","0","1","88",,,,,,,,,,,
"198987","Mitchell Community College","2022","1","3","10","14","0","66","3","2","0","3","61","1","3","10","14","0","66","3","2","0","3","61",,,,,,,,,,,
"199005","Mitchells Academy","2022","0","0","17","0","0","83","0","0","0","0","100","0","0","17","0","0","83","0","0","0","0","100",,,,,,,,,,,
"199023","Montgomery Community College","2022","0","3","15","30","0","50","2","1","0","3","51","0","3","15","30","0","50","2","1","0","3","51",,,,,,,,,,,
"199032","Montreat College","2022","1","1","11","3","1","54","2","26","2","2","50","1","1","10","3","1","54","2","25","2","2","46","1","1","14","1","1","51","3","28","1","1","72"
"199069","University of Mount Olive","2022","1","1","26","9","0","53","5","1","3","1","68","1","0","26","10","0","53","5","1","4","1","66","0","1","27","7","0","59","3","2","0","1","82"
"199078","College of Wilmington","2022","1","1","24","6","0","65","3","1","0","1","89","1","1","24","6","0","65","3","1","0","1","89",,,,,,,,,,,
"199087","Nash Community College","2022","1","1","34","11","0","47","2","2","1","1","63","1","1","34","11","0","47","2","2","1","1","63",,,,,,,,,,,
"199102","North Carolina A & T State University","2022","0","1","81","4","0","5","4","2","3","1","62","0","1","84","4","0","4","4","2","0","1","62","0","2","59","3","0","11","3","2","19","2","60"
"199111","University of North Carolina at Asheville","2022","0","2","5","8","0","75","5","4","2","2","58","0","2","5","8","0","75","5","4","2","2","58",,,,,,,,,,,
"199120","University of North Carolina at Chapel Hill","2022","0","12","9","9","0","55","5","2","8","12","60","0","14","8","10","0","55","5","2","5","14","60","0","9","9","8","0","57","4","2","11","9","60"
"199139","University of North Carolina at Charlotte","2022","0","9","17","12","0","50","4","2","6","9","51","0","10","17","14","0","51","5","2","2","10","48","0","5","16","6","0","45","3","1","23","5","60"
"199148","University of North Carolina at Greensboro","2022","0","5","27","14","0","43","5","3","4","5","67","0","6","29","15","0","40","5","2","2","6","66","0","4","20","6","0","53","3","3","12","4","69"
"199157","North Carolina Central University","2022","0","1","75","7","0","10","5","2","1","1","70","0","1","80","7","0","5","5","2","0","1","70","1","2","59","6","0","24","4","1","2","2","73"
"199175","University of North Carolina System","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"199184","University of North Carolina School of the Arts","2022","0","3","10","13","0","62","6","2","4","3","59","0","3","10","14","0","62","7","2","3","3","61","0","4","11","8","0","64","2","2","10","4","53"
"199193","North Carolina State University at Raleigh","2022","0","8","6","7","0","61","4","2","11","8","49","0","9","6","8","0","67","5","2","3","9","49","0","5","7","5","0","48","3","2","30","5","49"
"199209","North Carolina Wesleyan University","2022","1","0","40","3","0","27","5","10","13","1","51","1","0","39","3","0","27","5","10","14","1","49","2","0","50","3","1","34","3","6","0","1","69"
"199218","University of North Carolina Wilmington","2022","1","2","6","8","0","76","3","2","2","2","66","0","2","4","8","0","78","3","2","2","2","65","1","2","11","7","0","68","3","6","3","2","72"
"199263","Pamlico Community College","2022","0","1","22","7","0","63","1","5","0","1","74","0","1","22","7","0","63","1","5","0","1","74",,,,,,,,,,,
"199272","William Peace University","2022","0","2","27","12","0","53","5","1","1","2","51","0","2","27","12","0","53","5","1","1","2","51",,,,,,,,,,,
"199281","University of North Carolina at Pembroke","2022","12","1","29","9","0","39","6","1","2","2","65","13","1","28","11","0","37","7","1","2","1","62","8","3","32","6","0","46","3","1","1","3","73"
"199306","Pfeiffer University","2022","1","2","23","9","0","58","4","0","2","2","61","1","0","22","12","0","57","6","0","2","0","53","1","6","26","5","0","60","1","0","2","6","76"
"199324","Piedmont Community College","2022","0","0","27","7","0","60","2","2","0","1","62","0","0","27","7","0","60","2","2","0","1","62",,,,,,,,,,,
"199333","Pitt Community College","2022","1","1","32","10","0","49","3","3","0","2","61","1","1","32","10","0","49","3","3","0","2","61",,,,,,,,,,,
"199412","Queens University of Charlotte","2022","0","4","15","12","0","53","1","4","11","4","66","0","4","14","14","0","52","0","3","13","4","64","0","4","19","7","0","56","2","7","5","4","72"
"199421","Randolph Community College","2022","0","2","5","21","0","65","2","5","1","2","66","0","2","5","21","0","65","2","5","1","2","66",,,,,,,,,,,
"199449","Richmond Community College","2022","9","1","28","8","0","44","3","6","0","1","66","9","1","28","8","0","44","3","6","0","1","66",,,,,,,,,,,
"199458","Mid-Atlantic Christian University","2022","1","1","20","8","0","60","2","0","8","1","31","1","1","20","8","0","60","2","0","8","1","31",,,,,,,,,,,
"199467","Roanoke-Chowan Community College","2022","1","1","59","2","1","33","1","2","0","1","69","1","1","59","2","1","33","1","2","0","1","69",,,,,,,,,,,
"199476","Robeson Community College","2022","44","1","19","11","0","20","6","0","0","1","72","44","1","19","11","0","20","6","0","0","1","72",,,,,,,,,,,
"199485","Rockingham Community College","2022","0","1","15","9","0","64","4","6","1","1","65","0","1","15","9","0","64","4","6","1","1","65",,,,,,,,,,,
"199494","Rowan-Cabarrus Community College","2022","0","3","19","15","0","52","3","5","2","4","63","0","3","19","15","0","52","3","5","2","4","63",,,,,,,,,,,
"199582","Saint Augustine's University","2022","2","1","93","0","0","3","0","0","0","1","51","2","1","93","0","0","4","0","0","0","1","50","0","0","91","0","0","0","0","9","0","0","61"
"199607","Salem College","2022","0","2","16","15","0","50","7","9","1","2","97","0","2","14","18","0","47","9","9","1","2","98","0","3","23","5","0","58","2","7","3","3","91"
"199625","Sampson Community College","2022","2","1","18","30","0","46","2","1","1","1","67","2","1","18","30","0","46","2","1","1","1","67",,,,,,,,,,,
"199634","Sandhills Community College","2022","3","1","16","14","0","52","5","8","0","1","63","3","1","16","14","0","52","5","8","0","1","63",,,,,,,,,,,
"199643","Shaw University","2022","0","1","66","1","0","3","7","14","7","1","53","0","1","65","1","0","3","8","12","9","2","53","0","0","75","0","0","0","1","24","0","0","52"
"199689","Paul Mitchell the School-Fayetteville","2022","2","0","30","12","1","49","5","2","0","1","96","2","0","30","12","1","49","5","2","0","1","96",,,,,,,,,,,
"199698","St. Andrews University","2022","2","2","17","10","0","29","3","32","5","2","56","2","2","18","10","0","28","3","33","5","2","56","3","0","10","10","0","62","0","10","3","0","59"
"199722","Southeastern Community College","2022","4","0","22","8","1","57","0","8","0","1","66","4","0","22","8","1","57","0","8","0","1","66",,,,,,,,,,,
"199731","Southwestern Community College","2022","9","1","2","10","0","73","3","1","1","2","63","9","1","2","10","0","73","3","1","1","2","63",,,,,,,,,,,
"199740","Stanly Community College","2022","0","3","15","4","0","67","3","7","0","3","69","0","3","15","4","0","67","3","7","0","3","69",,,,,,,,,,,
"199759","Southeastern Baptist Theological Seminary","2022","1","5","5","8","0","78","0","3","0","5","30","1","2","6","7","0","80","0","5","0","2","41","1","5","4","8","0","78","0","3","0","6","26"
"199768","Surry Community College","2022","0","1","3","19","0","69","2","6","0","1","61","0","1","3","19","0","69","2","6","0","1","61",,,,,,,,,,,
"199786","Alamance Community College","2022","0","2","17","18","0","52","2","5","3","2","61","0","2","17","18","0","52","2","5","3","2","61",,,,,,,,,,,
"199795","Tri-County Community College","2022","1","1","2","6","0","85","2","3","0","1","60","1","1","2","6","0","85","2","3","0","1","60",,,,,,,,,,,
"199838","Vance-Granville Community College","2022","1","1","33","10","0","43","3","8","1","1","68","1","1","33","10","0","43","3","8","1","1","68",,,,,,,,,,,
"199847","Wake Forest University","2022","0","5","8","9","0","63","4","1","9","5","57","0","4","6","9","0","66","5","1","9","4","55","0","7","10","8","0","59","3","2","11","7","59"
"199856","Wake Technical Community College","2022","0","6","21","16","0","47","3","4","2","6","55","0","6","21","16","0","47","3","4","2","6","55",,,,,,,,,,,
"199865","Warren Wilson College","2022","0","2","5","7","0","74","4","3","5","2","66","0","1","5","8","0","75","4","2","5","1","66","0","7","7","4","0","71","1","6","3","7","71"
"199883","Watts School of Nursing","2022","0","6","25","4","1","56","3","6","0","6","88","0","6","25","4","1","56","3","6","0","6","88",,,,,,,,,,,
"199892","Wayne Community College","2022","1","2","21","19","0","53","3","1","1","2","62","1","2","21","19","0","53","3","1","1","2","62",,,,,,,,,,,
"199908","Western Piedmont Community College","2022","0","5","6","13","0","75","0","0","0","5","63","0","5","6","13","0","75","0","0","0","5","63",,,,,,,,,,,
"199926","Wilkes Community College","2022","0","1","3","12","0","80","2","2","0","1","58","0","1","3","12","0","80","2","2","0","1","58",,,,,,,,,,,
"199953","Wilson Community College","2022","1","1","31","16","0","42","2","5","1","1","66","1","1","31","16","0","42","2","5","1","1","66",,,,,,,,,,,
"199962","Wingate University","2022","0","3","21","7","0","50","8","4","7","3","62","0","2","24","8","0","44","9","4","8","2","59","1","4","13","5","0","68","3","5","2","4","72"
"199971","Carolina Christian College","2022","0","0","96","1","0","0","3","0","0","0","39","0","0","94","2","0","0","4","0","0","0","34","0","0","100","0","0","0","0","0","0","0","48"
"199980","Winston Salem Barber School","2022","0","0","66","14","0","14","0","7","0","0","7","0","0","66","14","0","14","0","7","0","0","7",,,,,,,,,,,
"199999","Winston-Salem State University","2022","0","1","78","4","0","8","4","3","1","1","76","0","1","81","4","0","6","4","2","1","1","76","0","2","55","4","0","27","4","5","3","2","81"
"200004","Western Carolina University","2022","1","1","6","8","0","77","3","1","3","1","59","1","1","6","8","0","76","4","1","2","1","57","1","1","7","6","0","77","3","0","4","1","69"
"200013","Rasmussen University-North Dakota","2022","3","2","24","4","0","54","3","10","0","2","83","3","2","25","4","0","52","3","10","0","2","83","3","0","7","3","0","79","3","3","0","0","76"
"200022","Bismarck State College","2022","2","1","2","5","0","73","5","12","1","1","48","2","1","2","5","0","73","5","12","1","1","48",,,,,,,,,,,
"200059","Dickinson State University","2022","1","1","3","7","0","75","5","6","3","1","55","1","1","3","7","0","75","5","6","3","1","55","3","0","8","2","0","76","5","0","6","0","44"
"200086","Nueta Hidatsa Sahnish College","2022","70","2","6","6","0","9","8","0","0","2","70","70","2","6","6","0","9","8","0","0","2","70",,,,,,,,,,,
"200110","Josef's School of Hair, Skin & Body-Grand Forks","2022","10","0","8","6","2","73","2","0","0","2","98","10","0","8","6","2","73","2","0","0","2","98",,,,,,,,,,,
"200156","University of Jamestown","2022","1","1","3","8","0","74","3","3","7","1","48","1","1","4","9","0","72","3","1","8","1","44","0","1","2","2","0","81","3","9","2","1","64"
"200192","Lake Region State College","2022","2","1","2","4","0","70","5","11","4","1","59","2","1","2","4","0","70","5","11","4","1","59",,,,,,,,,,,
"200208","Cankdeska Cikana Community College","2022","86","0","0","3","0","9","1","1","0","0","72","86","0","0","3","0","9","1","1","0","0","72",,,,,,,,,,,
"200217","University of Mary","2022","3","1","3","0","0","77","3","13","0","2","61","1","2","2","0","0","78","3","14","0","2","58","7","1","3","0","0","76","3","9","0","1","68"
"200226","Mayville State University","2022","1","1","4","4","0","81","5","1","3","1","64","1","1","4","4","0","81","5","1","3","1","63","2","2","2","4","0","87","2","0","0","2","78"
"200253","Minot State University","2022","2","2","4","8","0","67","6","1","10","2","65","2","2","4","8","0","68","6","1","9","2","64","2","3","3","5","0","60","3","1","22","3","73"
"200280","University of North Dakota","2022","1","3","3","5","0","75","4","2","6","3","50","1","3","2","5","0","77","5","3","4","3","44","2","3","4","4","0","71","4","1","11","3","63"
"200305","North Dakota State College of Science","2022","1","1","4","3","0","68","3","21","0","1","43","1","1","4","3","0","68","3","21","0","1","43",,,,,,,,,,,
"200314","Dakota College at Bottineau","2022","3","0","2","5","0","77","4","3","5","0","62","3","0","2","5","0","77","4","3","5","0","62",,,,,,,,,,,
"200332","North Dakota State University-Main Campus","2022","1","2","3","3","0","81","4","1","6","2","51","0","1","3","3","0","86","4","1","1","1","51","1","2","2","2","0","57","2","2","31","3","52"
"200341","Williston State College","2022","2","1","4","10","0","66","7","3","7","1","65","2","1","4","10","0","66","7","3","7","1","65",,,,,,,,,,,
"200466","Sitting Bull College","2022","89","0","0","1","0","9","0","0","0","0","57","90","0","0","1","0","9","0","0","0","0","53","85","0","0","0","0","15","0","0","0","0","88"
"200484","Trinity Bible College and Graduate School","2022","2","2","4","3","0","71","5","11","1","2","43","2","3","6","4","0","75","8","2","0","3","52","2","1","3","2","0","66","2","24","2","1","30"
"200527","Turtle Mountain Community College","2022","97","0","0","0","0","2","0","0","0","0","61","97","0","0","0","0","2","0","0","0","0","61",,,,,,,,,,,
"200554","United Tribes Technical College","2022","84","0","1","4","0","3","8","0","0","0","65","84","0","1","4","0","3","8","0","0","0","65",,,,,,,,,,,
"200572","Valley City State University","2022","1","0","2","4","1","83","4","3","2","1","59","1","0","2","5","1","82","4","3","2","1","58","1","1","1","0","0","91","3","1","1","1","69"
"200590","ETI Technical College","2022","0","1","28","3","1","64","3","0","0","2","82","0","1","28","3","1","64","3","0","0","2","82",,,,,,,,,,,
"200697","Air Force Institute of Technology-Graduate School of Engineering & Management","2022","0","7","5","6","1","70","5","5","1","8","18",,,,,,,,,,,,"0","7","5","6","1","70","5","5","1","8","18"
"200785","Herzing University-Akron","2022","0","1","43","3","0","44","6","2","0","1","87","0","1","43","3","0","44","6","2","0","1","87",,,,,,,,,,,
"200800","University of Akron Main Campus","2022","0","4","11","4","0","72","4","2","3","4","50","0","4","11","4","0","73","5","2","1","4","49","0","3","6","3","0","68","2","4","14","3","57"
"200846","University of Akron Wayne College","2022","0","1","2","4","0","87","2","3","0","1","60","0","1","2","4","0","87","2","3","0","1","60",,,,,,,,,,,
"200873","Allegheny Wesleyan College","2022","3","0","2","0","1","92","0","0","1","1","43","3","0","2","0","1","92","0","0","1","1","43",,,,,,,,,,,
"201034","Apollo Career Center","2022","1","1","14","1","0","77","5","1","0","1","51","1","1","14","1","0","77","5","1","0","1","51",,,,,,,,,,,
"201061","Art Academy of Cincinnati","2022","0","2","21","4","0","63","6","3","1","2","74","0","2","21","4","0","63","7","3","1","2","74","0","0","0","0","0","100","0","0","0","0","75"
"201098","Ashland County-West Holmes Career Center","2022","0","0","9","0","0","76","4","11","0","0","60","0","0","9","0","0","76","4","11","0","0","60",,,,,,,,,,,
"201104","Ashland University","2022","0","1","10","3","0","75","3","3","4","1","59","0","1","8","4","0","78","3","4","2","1","58","0","2","15","2","0","67","2","2","9","2","59"
"201131","Ashtabula County Technical and Career Campus","2022","0","1","4","2","0","88","3","2","0","1","69","0","1","4","2","0","88","3","2","0","1","69",,,,,,,,,,,
"201140","Athenaeum of Ohio","2022","0","2","1","3","0","72","0","18","4","2","12","0","0","0","0","0","84","0","16","0","0","16","0","3","1","4","0","68","0","19","5","3","11"
"201159","Auburn Career Center","2022","0","1","5","6","0","84","1","2","0","1","27","0","1","5","6","0","84","1","2","0","1","27",,,,,,,,,,,
"201177","Aultman College of Nursing and Health Sciences","2022","1","2","6","3","0","84","4","1","0","2","91","1","2","6","3","0","84","4","1","0","2","91",,,,,,,,,,,
"201195","Baldwin Wallace University","2022","0","2","7","6","0","78","5","0","1","2","58","0","2","7","7","0","77","5","0","1","2","55","0","2","9","4","0","80","3","0","2","2","70"
"201283","Belmont College","2022","0","1","1","2","0","93","2","0","0","1","65","0","1","1","2","0","93","2","0","0","1","65",,,,,,,,,,,
"201371","Bluffton University","2022","0","0","12","3","0","75","2","5","3","0","51","0","0","13","3","0","73","3","5","3","0","47","0","0","2","4","0","89","0","2","2","0","84"
"201432","Bowling Green State University-Firelands","2022","0","0","8","7","0","74","4","5","0","1","63","0","0","8","7","0","74","4","5","0","1","63",,,,,,,,,,,
"201441","Bowling Green State University-Main Campus","2022","0","1","6","5","0","77","3","3","5","1","58","0","1","6","5","0","79","3","3","3","1","57","0","2","6","4","0","68","3","2","14","2","61"
"201469","Bryant & Stratton College-Parma","2022","0","1","37","8","0","46","5","2","0","1","79","0","1","37","8","0","46","5","2","0","1","79",,,,,,,,,,,
"201478","Buckeye Hills Career Center","2022","1","0","1","1","0","93","3","1","0","0","55","1","0","1","1","0","93","3","1","0","0","55",,,,,,,,,,,
"201496","Butler Technology and Career Development Schools","2022","0","5","17","3","0","70","3","1","0","5","37","0","5","17","3","0","70","3","1","0","5","37",,,,,,,,,,,
"201539","Canton City Schools Adult Career and Technical Education","2022","0","1","36","1","0","42","13","7","0","1","84","0","1","36","1","0","42","13","7","0","1","84",,,,,,,,,,,
"201548","Capital University","2022","0","3","11","5","0","72","6","1","2","3","60","0","3","12","6","0","70","7","1","2","3","60","0","3","8","3","0","79","3","2","2","3","59"
"201645","Case Western Reserve University","2022","0","18","7","8","0","40","4","3","20","18","52","0","25","6","11","0","36","5","1","14","25","48","0","12","7","5","0","43","3","5","25","12","55"
"201654","Cedarville University","2022","0","3","2","3","0","86","3","1","2","3","55","0","3","1","3","0","87","3","1","2","3","55","0","4","11","4","0","77","2","1","2","4","53"
"201672","Central Ohio Technical College","2022","0","4","13","4","0","66","8","5","0","4","70","0","4","13","4","0","66","8","5","0","4","70",,,,,,,,,,,
"201681","Central School of Practical Nursing","2022","0","68","5","3","0","24","0","0","0","68","86","0","68","5","3","0","24","0","0","0","68","86",,,,,,,,,,,
"201690","Central State University","2022","1","2","33","12","0","26","5","19","2","2","70","1","2","33","12","0","26","5","19","2","2","70","4","0","86","0","0","4","0","7","0","0","64"
"201751","Chatfield College","2022","2","1","17","2","1","74","2","1","0","2","66","2","1","17","2","1","74","2","1","0","2","66",,,,,,,,,,,
"201803","Choffin Career  and Technical Center","2022","0","0","62","3","0","35","0","0","0","0","88","0","0","62","3","0","35","0","0","0","0","88",,,,,,,,,,,
"201821","The Christ College of Nursing and Health Sciences","2022","0","3","15","3","0","74","1","4","0","3","92","0","3","15","3","0","74","1","4","0","3","92",,,,,,,,,,,
"201867","Cincinnati College of Mortuary Science","2022","0","0","9","3","0","85","3","0","0","0","84","0","0","9","3","0","85","3","0","0","0","84",,,,,,,,,,,
"201885","University of Cincinnati-Main Campus","2022","0","5","8","4","0","66","4","2","10","5","54","0","5","8","4","0","71","4","2","5","5","50","0","5","8","5","0","54","3","1","24","5","62"
"201928","Cincinnati State Technical and Community College","2022","0","3","22","4","0","56","4","9","2","3","61","0","3","22","4","0","56","4","9","2","3","61",,,,,,,,,,,
"201946","University of Cincinnati-Clermont College","2022","0","4","9","5","0","72","5","4","2","4","60","0","4","9","5","0","72","5","4","2","4","60",,,,,,,,,,,
"201955","University of Cincinnati-Blue Ash College","2022","0","5","16","6","0","64","5","1","1","6","61","0","5","16","6","0","64","5","1","1","6","61",,,,,,,,,,,
"201964","Ohio Christian University","2022","0","1","16","3","1","49","2","28","0","2","58","0","1","14","3","1","48","2","31","0","1","59","1","1","36","4","2","53","2","1","0","3","47"
"201973","Clark State College","2022","0","1","14","4","0","73","5","3","1","1","67","0","1","14","4","0","73","5","3","1","1","67",,,,,,,,,,,
"202046","Cleveland Institute of Art","2022","0","3","10","10","0","68","8","0","2","3","72","0","3","10","10","0","68","8","0","2","3","72",,,,,,,,,,,
"202073","Cleveland Institute of Music","2022","1","15","3","6","0","44","4","1","25","15","51","2","20","4","8","0","46","5","1","15","20","50","0","8","3","3","0","41","3","2","39","8","52"
"202134","Cleveland State University","2022","0","4","14","7","0","54","3","3","15","4","54","0","4","17","9","0","60","4","1","5","4","54","0","2","10","3","0","40","2","6","37","2","53"
"202152","Columbiana County Career and Technical Center","2022","0","1","8","4","0","86","0","0","0","1","89","0","1","8","4","0","86","0","0","0","1","89",,,,,,,,,,,
"202170","Columbus College of Art and Design","2022","0","4","11","8","0","66","5","4","2","4","70","0","4","11","8","0","66","5","4","2","4","70","0","6","6","6","0","63","0","13","6","6","69"
"202222","Columbus State Community College","2022","0","5","20","7","0","47","3","16","2","5","56","0","5","20","7","0","47","3","16","2","5","56",,,,,,,,,,,
"202356","Cuyahoga Community College District","2022","0","3","23","8","0","55","4","4","2","3","62","0","3","23","8","0","55","4","4","2","3","62",,,,,,,,,,,
"202435","Davis College","2022","0","5","51","3","0","25","5","3","10","5","85","0","5","51","3","0","25","5","3","10","5","85",,,,,,,,,,,
"202453","Dayton Barber College","2022","0","1","48","6","0","36","0","9","0","1","14","0","1","48","6","0","36","0","9","0","1","14",,,,,,,,,,,
"202480","University of Dayton","2022","0","2","6","6","0","70","3","1","12","2","48","0","2","5","7","0","79","3","1","3","2","48","0","2","7","3","0","47","2","3","36","2","48"
"202514","Defiance College","2022","0","0","25","8","0","65","2","0","0","0","40","0","0","26","7","0","64","2","0","0","0","40","0","0","15","11","0","74","0","0","0","0","48"
